"Horodateur","Le libellé du texte était clair. ","Le contenu (texte, images, etc) était facile à comprendre. ","Les textes étaient utile. ","Les textes étaient pertinents.","Je pouvais rapidement connaître la structure du site web en parcourant sa page d'accueil. ","L'organisation du site web était claire. ","Dans chaque section du site web, les pages étaient bien organisées. ","Il était facile de trouver l'information dont j'avais besoin sur le site web. ","Le site web m'a aidé à trouver ce que je cherchais. ","J'ai obtenu ce à quoi je m'attendais quand je cliquais sur les éléments du site web. ","Utiliser ce site web s'est fait sans effort. ","Utiliser ce site web m'a fatigué. ","J'ai appris à utiliser ce site web rapidement. ","La mise en page à travers tout le site web était cohérente. ","J'ai remarqué des changements soudains de mise en page à travers le site web. ","La mise en page de chaque section du site web était cohérente. ","Les couleurs m'ont aidé à distinguer les différentes sections du site web. ","Les zones mises en évidence d'une page m'ont aidé à repérer l'information dont j'avais besoin. ","J'ai appris à connaître le contenu d'une page en parcourant les zones mises en évidence. "
"2024/01/02 10:12:02 PM UTC+1","5","4","5","5","5","5","4","5","5","5","5","1","5","4","1","5","5","5","5"
"2024/01/03 10:04:46 AM UTC+1","2","4","3","3","5","4","4","3","5","5","4","3","3","4","NA","3","5","3","4"
"2024/01/03 11:27:10 AM UTC+1","4","4","5","5","4","4","4","4","4","4","4","3","4","4","3","4","4","4","4"
"2024/01/03 11:32:47 AM UTC+1","4","5","4","5","4","5","5","4","4","4","5","5","5","1","5","5","1","4","4"
"2024/01/03 11:46:31 AM UTC+1","4","5","5","4","5","5","4","4","5","5","4","NA","5","5","2","5","5","4","4"
"2024/01/03 12:36:12 PM UTC+1","5","1","5","1","5","3","4","1","5","1","4","5","5","1","4","2","5","1","5"
"2024/01/03 2:53:14 PM UTC+1","4","4","5","4","3","4","3","3","4","4","4","1","3","3","4","3","5","3","4"
"2024/01/03 3:02:17 PM UTC+1","4","3","2","3","3","1","2","1","NA","NA","4","NA","5","2","4","2","1","3","3"
"2024/01/03 3:41:08 PM UTC+1","5","5","5","5","5","5","5","5","5","5","4","3","4","5","5","2","5","5","5"
"2024/01/03 4:26:06 PM UTC+1","5","5","5","3","4","4","5","4","5","3","5","5","5","5","1","5","2","3","5"
"2024/01/03 4:30:34 PM UTC+1","4","5","4","3","5","4","5","5","4","5","5","1","5","4","1","4","5","5","4"
"2024/01/03 4:46:26 PM UTC+1","2","4","4","2","3","4","2","3","3","4","3","2","2","3","3","4","3","4","2"
"2024/01/03 4:50:34 PM UTC+1","3","3","3","3","3","3","3","3","3","3","3","1","3","3","1","3","3","3","3"
"2024/01/03 4:52:21 PM UTC+1","3","3","3","3","4","NA","2","1","1","2","1","2","2","1","NA","4","2","2","2"
"2024/01/03 4:53:15 PM UTC+1","5","5","4","5","5","5","5","5","5","5","5","1","5","4","5","5","5","5","5"
"2024/01/03 4:54:45 PM UTC+1","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4"
"2024/01/03 6:30:17 PM UTC+1","3","4","5","3","3","4","4","5","5","4","4","1","4","4","3","3","5","5","4"
"2024/01/03 6:48:25 PM UTC+1","3","3","4","2","4","4","2","3","5","3","2","3","3","2","1","4","3","3","2"
"2024/01/03 6:53:38 PM UTC+1","4","3","4","4","4","3","4","4","3","4","5","1","4","3","2","3","3","2","2"
"2024/01/03 7:16:36 PM UTC+1","2","3","3","2","3","2","2","2","2","2","3","3","2","2","3","2","2","3","3"
"2024/01/03 7:37:20 PM UTC+1","4","5","4","5","5","4","4","5","4","5","4","5","5","5","4","5","5","4","4"
"2024/01/03 7:57:39 PM UTC+1","5","4","5","4","4","4","5","4","5","5","5","1","5","4","NA","5","4","5","5"
